62,0JcF7Vp8G9DDARCdlctQaV,Classic Masters,album,0iVed2Qu7dmL0pIYCj1Xw8,Jackie DeShannon,45.0,2002,spotify:album:0JcF7Vp8G9DDARCdlctQaV
63,6TiIQSWfDgwQTg1aycqAsP,The Best Of Tom Jones 20th Century Masters The Millennium Collection,album,1T0wRBO0CK0vK8ouUMqEl5,Tom Jones,54.0,2000-01-01,spotify:album:6TiIQSWfDgwQTg1aycqAsP
64,11H6HAyk5ZYXSvXmMPcBjQ,The Best Of Sir Douglas Quintet,album,3A2UXqQgMDJ3YNvLPyX5NW,Sir Douglas Quintet,30.0,2009-01-26,spotify:album:11H6HAyk5ZYXSvXmMPcBjQ
65,4jiO2jRz7g50ESvYYKsKwZ,30 Greatest Hits: Portrait of a Legend 1951-1964,compilation,6hnWRPzGGKiapVX1UCdEAC,Sam Cooke,61.0,1960-01-01,spotify:album:4jiO2jRz7g50ESvYYKsKwZ
66,2J8KUXkfZq1VB4QXKYaU0X,A Greatest Hits Collection Herman's Hermits: 1964-1970 (Re-Record),compilation,48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,29.0,2009-08-03,spotify:album:2J8KUXkfZq1VB4QXKYaU0X
67,14OEmDXhqzdnBEA9fpXGSq,The Ultimate Collection: Martha Reeves & The Vandellas,album,1Pe5hlKMCTULjosqZ6KanP,Martha Reeves & The Vandellas,54.0,1998-01-01,spotify:album:14OEmDXhqzdnBEA9fpXGSq
68,0lYmtEuL0fLXPP4XKr5O8K,The Yardbirds Story - Pt. 3 - 1965/66 - Big Hits & America Calling,compilation,2lxX1ivRYp26soIavdG9bX,The Yardbirds,60.0,2002-05-08,spotify:album:0lYmtEuL0fLXPP4XKr5O8K
69,7KBVP5qrxpkgQqdi3LBRTO,The Searchers: The Pye Anthology 1963-1967,album,4QmkLL9JOqM9dusHS1Hghe,The Searchers,44.0,2000-01-01,spotify:album:7KBVP5qrxpkgQqdi3LBRTO
70,4ZUX1l4ovBWA6Sbcgf4Kzf,The Classic Songs Of Dickey Lee,album,34Ym7wEA9olyXIQ5eRAZjq,Dickey Lee,15.0,2011-01-01,spotify:album:4ZUX1l4ovBWA6Sbcgf4Kzf
71,6P7fxmps0S4g5EgxQk9wQu,The Two Of Us,album,71lGEtP9qYXDsSXjfexTqO,Sonny & Cher,37.0,2005-04-26,spotify:album:6P7fxmps0S4g5EgxQk9wQu
72,4cOmonGdWQvqlspEm5M2Ry,Save The Turtles: The Turtles Greatest Hits,album,2VIoWte1HPDbZ2WqHd2La7,The Turtles,40.0,2009-04-21,spotify:album:4cOmonGdWQvqlspEm5M2Ry
