artist_id,artist_name,followers,popularity
4E9w0bms6HcEppFlWjeW2d,Bobbie Gentry,11460.0,44.0
2kuNswDC82PL9xRbfaZJaS,The Association,29738.0,51.0
320EPCSEezHt1rtbfwH6Ck,The Monkees,190887.0,66.0
22WZ7M8sxp5THdruNY3gXt,The Doors,1902327.0,78.0
,,,
2VIoWte1HPDbZ2WqHd2La7,The Turtles,105054.0,64.0
5X3TuTi9OIsJXMGxPwTKM2,The Young Rascals,18655.0,48.0
6mcrZQmgzFGRWf7C0SObou,Frankie Valli & The Four Seasons,154473.0,68.0
,,,
01hRNr3yF5bYnPq4wZ88iI,Tommy James & The Shondells,41738.0,56.0
7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,821957.0,74.0
7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,1735141.0,80.0
5MX2l6ewjOaeWn1lYNhzlO,Bobby Vee,33218.0,55.0
4zmxet3ZPdSmL3Xyv1Wegb,The Buckinghams,9887.0,38.0
10TSIJnyUcowWhpjj59gHB,Arthur Conley,7992.0,49.0
77oyFDj00Afu8tjXDy5CDs,The Soul Survivors,255.0,24.0
2BVYdY4PyfCF9z4NrkhEB2,Sam & Dave,75762.0,64.0
2kuNswDC82PL9xRbfaZJaS,The Association,29738.0,51.0
36eDX6PQlJkjxXUhIINO5w,Jay & The Techniques,259.0,24.0
44RnRzSdbvlthfaspNyQld,Every Mother's Son,159.0,21.0
1nyQBzKgZ2hBLr7PnyV7cI,Strawberry Alarm Clock,16213.0,42.0
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,3138560.0,84.0
3tM3DTmG7ahfACzwqtazLD,Vikki Carr,7794.0,49.0
57bUPid8xztkieZfS7OlEV,The Supremes,367058.0,70.0
3eskO5m0H4yiF64vRySBjr,Buffalo Springfield,139046.0,65.0
6ohvzFHYmLd05kyYhLui5K,Brenton Wood,41979.0,57.0
57bUPid8xztkieZfS7OlEV,The Supremes,367058.0,70.0
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,4789684.0,89.0
17XXKfRBMCWvLrqGoNkJXm,Engelbert Humperdinck,64986.0,61.0
,,,
2qFr8w5sWUITRlzZ9kZotF,Jefferson Airplane,331449.0,68.0
4dNs4gsyisVixgpkjyvD8D,The Esquires,414.0,22.0
44NX2ffIYHr6D4n7RaZF7A,Van Morrison,571970.0,77.0
1Pe5hlKMCTULjosqZ6KanP,Martha Reeves & The Vandellas,73141.0,62.0
5ojumrbWWohLIuzArVoyDs,The Happenings,2817.0,35.0
0GbqW5TJr7n4is453VOY4C,Procol Harum,71054.0,57.0
4zmxet3ZPdSmL3Xyv1Wegb,The Buckinghams,9887.0,38.0
2oEalcjHCHizuXF2ao47F6,The Casinos,356.0,23.0
57bUPid8xztkieZfS7OlEV,The Supremes,367058.0,70.0
6waa8mKu91GjzD4NlONlNJ,The Hollies,193089.0,67.0
6bOYtKnpLPQSfMpS2ilotK,Bobby Vinton,38275.0,57.0
2JSjCHK79gdaiPWdKiNUNp,Dionne Warwick,149520.0,63.0
2VL8sLEJ6lHEwocjc1pN9w,The Tremeloes,21558.0,48.0
1iBpJEBrSFXCtPOc5OUZiY,Ed Ames,1413.0,28.0
1UUYAQ9LiRsZF0ZukQNWXM,The 5th Dimension,31479.0,53.0
7d7AZ3CQC457bFhK0wHpSO,Scott McKenzie,16423.0,56.0
4ZSzroBNV7HzBDO9aohuF1,The Cowsills,12023.0,43.0
48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,60626.0,55.0
4zmxet3ZPdSmL3Xyv1Wegb,The Buckinghams,9887.0,38.0
6nKqt1nbSBEq3iUXD1Xgz8,Petula Clark,42291.0,52.0
4VnomLtKTm9Ahe1tZfmZju,Jackie Wilson,91188.0,64.0
5X3TuTi9OIsJXMGxPwTKM2,The Young Rascals,18655.0,48.0
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,4789684.0,89.0
3RwQ26hR2tJtA8F9p2n7jG,The Temptations,633213.0,73.0
7dedWAqd0IKTdCiqiadUrV,The Seekers,24917.0,51.0
4B7Kwlv6J5QpJ44vB6STUF,The Five Americans,612.0,16.0
7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,821959.0,74.0
320EPCSEezHt1rtbfwH6Ck,The Monkees,190887.0,66.0
08b2PA6eFyugsWAk41eQKZ,Lesley Gore,26840.0,54.0
1bs7HoMkSyQwcobCpE9KpN,The Mamas & The Papas,234919.0,67.0
5X3TuTi9OIsJXMGxPwTKM2,The Young Rascals,18655.0,48.0
6waa8mKu91GjzD4NlONlNJ,The Hollies,193089.0,67.0
7peASGSN6FkIFQ3XjLfBtB,The Blues Magoos,4331.0,30.0
1pJEZXU2hJApJW3rM7LmMu,The Easybeats,15013.0,47.0
0Z4CzYz9ieK8q9XiVMPkW5,The Bar-Kays,58702.0,53.0
3i9hP422d2KMjaupTzBNVS,The Spencer Davis Group,44901.0,58.0
5Kd7EaN14eunBIyNux2c3z,The Hombres,419.0,25.0
2IU5UBup85LmAXh5U36DeC,The Grass Roots,28757.0,53.0
6qI4LTzMRpTxRzMZPvv2C6,Peaches & Herb,23449.0,48.0
2vDV0T8sxx2ENnKXds75e5,Booker T. & the M.G.'s,60632.0,59.0
0N5PyKJzS3M1XNlaCL7bbE,Wilson Pickett,135725.0,63.0
320EPCSEezHt1rtbfwH6Ck,The Monkees,190887.0,66.0
7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,821959.0,74.0
57ALvbCBaCkNlgTOSiUPdT,Aaron Neville,39517.0,57.0
7GaxyUddsPok8BuhxN6OUW,James Brown,742660.0,71.0
2VIoWte1HPDbZ2WqHd2La7,The Turtles,105054.0,64.0
0u2FHSq3ln94y5Q57xazwf,Keith Urban,1434164.0,78.0
1eYhYunlNJlDoQhtYBvPsi,Ray Charles,835949.0,72.0
2qFr8w5sWUITRlzZ9kZotF,Jefferson Airplane,331449.0,68.0
7fIvjotigTGWqjIz6EP1i4,Four Tops,210016.0,68.0
71lGEtP9qYXDsSXjfexTqO,Sonny & Cher,43704.0,57.0
2ltpcCK86foogli20z9raq,The Royal Guardsmen,1094.0,37.0
5c9uFWpZY2MTlk7Rft0tgp,Janis Ian,22771.0,47.0
7mEIug7XUlQHikrFxjTWes,Neil Diamond,324429.0,71.0
,,,
5Xh0e6sCvMXJUNVa4oynvx,Sandy Posey,2171.0,32.0
2VL8sLEJ6lHEwocjc1pN9w,The Tremeloes,21558.0,48.0
5KDZj6hNRCnAhsebEgd0MB,Robert Knight,344.0,25.0
6yrBBtqX2gKCHCrZOYBDrB,"Peter, Paul and Mary",90442.0,56.0
4JeqRr8Upw5uxLEu6jgIRm,Bill Cosby,16929.0,40.0
1kkpNi8Ii5MhBMxmUhN5g9,The Electric Prunes,14147.0,41.0
320EPCSEezHt1rtbfwH6Ck,The Monkees,190887.0,66.0
3TiISqKS6ESlMQ4WFfZJw2,Johnny Rivers,30605.0,48.0
01hRNr3yF5bYnPq4wZ88iI,Tommy James & The Shondells,41738.0,56.0
1T0wRBO0CK0vK8ouUMqEl5,Tom Jones,191202.0,64.0
67ea9eGLXYMsO2eYQRui3w,The Who,1118063.0,75.0
6nKqt1nbSBEq3iUXD1Xgz8,Petula Clark,42291.0,52.0
7mEIug7XUlQHikrFxjTWes,Neil Diamond,324429.0,71.0
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,4789686.0,89.0
5Oj26LEf8jdgR2woWEjlhi,Paul Mauriat,18213.0,54.0
5gPEo032lzARtzuVqJIm9o,Bobby Goldsboro,16805.0,48.0
60df5JBRRPcnSpsIMxxwQm,Otis Redding,742646.0,74.0
5X3TuTi9OIsJXMGxPwTKM2,The Young Rascals,18655.0,48.0
74oJ4qxwOZvX6oSsu1DGnw,Cream,409714.0,69.0
09L3cUdx0hq6qn5bKuJJ4I,Herb Alpert & The Tijuana Brass,34094.0,53.0
0JBc7Jztn7EdEVjyMCN6Wi,Hugo Montenegro,2415.0,34.0
70cRZdQywnSFp9pnc2WTCE,Simon & Garfunkel,934839.0,77.0
1kupwLFpHALpmhp5qol8xH,Archie Bell & The Drells,5539.0,43.0
3MIwMeYV8vmgQFbbRiJTp2,Jeannie C. Riley,8333.0,39.0
,,,
01hRNr3yF5bYnPq4wZ88iI,Tommy James & The Shondells,41738.0,56.0
22WZ7M8sxp5THdruNY3gXt,The Doors,1902328.0,78.0
4asCC4oxQcDzFXhCth2SgQ,Gary Puckett & The Union Gap,26156.0,51.0
3KGQvnOoqUHi3KxKQMZtXr,The Box Tops,23493.0,53.0
1UUYAQ9LiRsZF0ZukQNWXM,The 5th Dimension,31479.0,53.0
1b3F5FI7TX4IWTNA4P1kWp,Hugh Masekela,12780.0,43.0
2IU5UBup85LmAXh5U36DeC,The Grass Roots,28757.0,53.0
5m8H6zSadhu1j9Yi04VLqD,Sly & The Family Stone,207183.0,66.0
0i0ELbteoVYQDbSNCU3Spz,Cliff Nobles,338.0,25.0
3RwQ26hR2tJtA8F9p2n7jG,The Temptations,633213.0,73.0
6YPRXu1dazGYcSZv4HJEH4,The Delfonics,94131.0,56.0
0Ma8KxtvoIDSU5fHtuTS9F,The Vogues,7241.0,41.0
2woGum3OHHSQl0YK54jQKL,John Fred & His Playboy Band,907.0,29.0
6XGJvNG372fPJ2TV2OoN0Z,Classics IV,8302.0,46.0
57bUPid8xztkieZfS7OlEV,The Supremes,367062.0,70.0
5TnMVQgTIbp6z3AydwnHW6,Merrilee Rush & The Turnabouts,88.0,27.0
5rWKAmlxinr3muqedXVIHa,Georgie Fame,4794.0,39.0
5pBljwfwnohfSNDXixEYHm,Mary Hopkin,5980.0,41.0
1WRM9i067hd2ujxxi8FI3m,Steppenwolf,231288.0,68.0
30q5mqJmdYPaKabPMytzvv,The Intruders,32298.0,46.0
17vIaBTHJOVxnU4v7t1DiY,1910 Fruitgum Company,3974.0,31.0
4asCC4oxQcDzFXhCth2SgQ,Gary Puckett & The Union Gap,26156.0,51.0
5X3TuTi9OIsJXMGxPwTKM2,The Young Rascals,18655.0,48.0
65c5si0ePAwkOCn4M35Ho7,Sérgio Mendes,62833.0,60.0
0nAVvgfE9yI4DwvMiYwk8a,Johnny Nash,14183.0,58.0
6EHdKd4m8DzNf9NhVeJSVI,Ohio Express,3584.0,34.0
2LpdhgwN0mYKMjnzrBQU8H,The Crazy World Of Arthur Brown,2478.0,31.0
57xdnSVt4ahJCIXYLieQ25,The Troggs,51720.0,53.0
4TKZSf5u6B01KbQizymC0p,Gene & Debbe,30.0,5.0
2JSjCHK79gdaiPWdKiNUNp,Dionne Warwick,149520.0,63.0
1XgVoPT2Va5L64LFzskVBW,Mason Williams,3476.0,40.0
7lffJlv0nRl0sIsHDmo0SB,Clarence Carter,33390.0,53.0
1LewRrFZKW8ktXwW01njJL,The O'Kaysions,115.0,16.0
7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,821959.0,74.0
2rUmEpDSHKMhamwClclHs5,The Lemon Pipers,4099.0,37.0
17vIaBTHJOVxnU4v7t1DiY,1910 Fruitgum Company,3974.0,31.0
7k9JXkYLc9TBFynG860BC3,Friend & Lover,251.0,25.0
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,3138560.0,84.0
30Qh39o424P9qgdHNVouvo,Richard Harris,1755.0,30.0
7K78lVZ8XzkjfRSI7570FF,José Feliciano,76600.0,65.0
7gP3bB2nilZXLfPHJhMdvc,Foster The People,1930366.0,80.0
3rRmDmzPcAFwcUDvG5gBqO,Percy Sledge,112115.0,60.0
4gIdjgLlvgEOz7MexDZzpM,Status Quo,169529.0,63.0
4PI5IHRvANLL76O5gRmGKL,Blue Cheer,15895.0,37.0
,,,
7GaxyUddsPok8BuhxN6OUW,James Brown,742660.0,71.0
1LZEQNv7sE11VDY3SdxQeN,Bee Gees,732953.0,77.0
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,4789686.0,89.0
6vLlQYujOujIrm7zAKzEdG,Donovan,123638.0,63.0
