"""do you believe in magic""",1965.0,0.218,0.552,125827.0,0.742,"""1udKn1oNKYQSQ9OmiIWCMu""",0.0,0.0,0.339,-7.963,1.0,0.0454,138.591,4.0,0.745
"""all i really want to do""",1965.0,0.331,0.547,178147.0,0.245,"""7mkhdRep3PFme6KECigXsS""",0.0,3.0,0.22,-15.926,1.0,0.0356,124.575,4.0,0.239
"""take me back""",1965.0,0.765,0.447,158467.0,0.321,"""6VARqNnflC1wgBnH4jYWjz""",4e-05,10.0,0.333,-11.353,1.0,0.0434,94.115,4.0,0.257
"""i want candy""",1965.0,0.0273,0.669,177507.0,0.848,"""7JoPxqrnT3eq02AnflBSiN""",0.0869,8.0,0.0881,-10.072,0.0,0.03,102.048,4.0,0.664
"""ooo baby baby""",1965.0,0.81,0.186,164160.0,0.338,"""5RoOpSqvVg2jPdSfwm22wh""",0.0,7.0,0.159,-9.362,1.0,0.0291,178.681,3.0,0.421
"""laugh at me""",1965.0,0.145,0.547,179800.0,0.703,"""1TdmzgmdjrKQjJWk4jTGlO""",0.0,7.0,0.158,-7.606,1.0,0.0323,108.004,4.0,0.618
"""treat her right""",1965.0,0.375,0.602,125893.0,0.625,"""2dq2J24oIF67Uvttut4dv7""",0.00281,0.0,0.308,-7.517,1.0,0.061,162.315,4.0,0.959
"""the race is on""",1965.0,0.729,0.576,107827.0,0.784,"""7tTD5I9ZyXAxH4LoWPHMJR""",0.0,6.0,0.123,-7.951,1.0,0.039,91.259,3.0,0.937
"""im a fool""",1965.0,0.213,0.606,169667.0,0.587,"""54eajp10qPgjUCiD2Ds9jk""",7.18e-06,7.0,0.0759,-13.501,1.0,0.0362,130.443,4.0,0.927
"""the boy from new york city""",1965.0,0.752,0.484,185000.0,0.789,"""6HXiCCertmHIfuVHDdZ8QG""",0.0,11.0,0.118,-5.942,1.0,0.0731,148.649,4.0,0.761
"""keep searchin well follow the sun""",1965.0,0.402,0.624,138320.0,0.758,"""6IW5U4H5EkzznI0fCWlbzR""",0.00034,7.0,0.415,-7.232,0.0,0.0769,140.653,4.0,0.413
"""how sweet it is to be loved by you""",1965.0,0.313,0.666,177773.0,0.499,"""2zF8ro2hX0aEYaqXQdEKW1""",3.65e-06,0.0,0.0789,-10.104,1.0,0.0354,109.772,4.0,0.96
"""ballad of the green berets""",1966.0,,,,,,,,,,,,,,
"""cherish""",1966.0,0.726,0.494,205693.0,0.407,"""5fmtvzDvwlfvNjdNrOj8TA""",0.0,5.0,0.116,-14.463,1.0,0.0345,110.13,4.0,0.537
"""youre my soul and inspiration""",1966.0,0.732,0.166,201533.0,0.433,"""5ZHOiRqKOzgFMfMAu8cwzp""",1.04e-06,11.0,0.227,-12.048,1.0,0.0467,187.437,4.0,0.269
"""reach out ill be there""",1966.0,0.0193,0.633,193964.0,0.655,"""0CVHCyORgFfT5cjf3VX8Dg""",0.0181,3.0,0.121,-10.272,0.0,0.0286,119.775,4.0,0.754
"""96 tears""",1966.0,,,,,,,,,,,,,,
"""last train to clarksville""",1966.0,0.0305,0.239,164093.0,0.618,"""3h4t9qpFktohHeUQc3hZCa""",0.0,0.0,0.721,-8.464,1.0,0.033,197.499,4.0,0.691
"""monday monday""",1966.0,0.71,0.485,208293.0,0.479,"""3EFb1qDgIqf9MegIryKtDj""",0.0,1.0,0.55,-9.439,1.0,0.0279,109.882,4.0,0.655
"""you cant hurry love""",1966.0,0.762,0.617,165080.0,0.81,"""69Qa7czzqraPWZgxpQN405""",0.0,10.0,0.134,-6.513,1.0,0.0798,97.389,4.0,0.662
"""poor side of town""",1966.0,0.748,0.424,217133.0,0.487,"""2kt0TS6sYxz25uze84l5Oq""",4.01e-06,6.0,0.346,-11.956,0.0,0.0323,103.399,4.0,0.433
"""california dreamin""",1966.0,0.352,0.552,162373.0,0.616,"""4s6LhHAV5SEsOV0lC2tjvJ""",0.0,1.0,0.0501,-9.785,0.0,0.0346,112.442,4.0,0.644
