artist_id,genres
3PF1KBeHYb14yKgsiE693V,"[adult standards, brill building pop, bubblegum pop, chicago soul, doo-wop, motown, northern soul, rock-and-roll]"
4NMkJqM1SsQP3gk81cqk6K,"[bubblegum pop, classic garage rock, freakbeat]"
6TKOZZDd5uV5KnyC5G4MUt,"[brill building pop, chicago soul, classic funk rock, disco, funk, memphis soul, motown, quiet storm, rock-and-roll, soul, soul blues, soul christmas, southern soul]"
4ui9JwXE5MHylLzpsoiEhr,"[brill building pop, bubblegum pop]"
5wKpYtFnMb1OgGxuJsmrPY,[]
6eVCRmRG2HcfL4yx77A9WK,"[adult standards, cabaret, christmas, easy listening, jazz christmas, lounge, vocal jazz]"
3lcfZLW21dTfmTLBmae1eR,[]
3ahRanZQnsZmAVMNqRsimM,[]
3c8WoNjBfyLJhFObE6RHgs,"[adult standards, brill building pop, bubblegum pop, christmas, doo-wop, folk rock, merseybeat, rock-and-roll, rockabilly]"
3koiLjNrgRTNbOwViDipeA,"[classic funk rock, motown, quiet storm, soul, soul christmas]"
,
2kuNswDC82PL9xRbfaZJaS,"[adult standards, brill building pop, british blues, bubblegum pop, christmas, classic rock, folk, folk rock, mellow gold, merseybeat, motown, psychedelic rock, rock-and-roll, singer-songwriter, soft rock, traditional folk]"
4b0WsB47XCa9F83BmwQ7WX,"[adult standards, brill building pop, bubblegum pop, christmas, folk rock, mellow gold, motown, rock-and-roll, rockabilly]"
6ur3JzvQ4J4Reb2eKjptEk,[]
,
320EPCSEezHt1rtbfwH6Ck,"[adult standards, boy band, brill building pop, british blues, bubblegum pop, christmas, classic rock, folk rock, mellow gold, psychedelic rock, rock, rock-and-roll, singer-songwriter, soft rock]"
1bs7HoMkSyQwcobCpE9KpN,"[adult standards, brill building pop, bubblegum pop, christmas, classic rock, folk, folk rock, mellow gold, psychedelic rock, rock-and-roll, singer-songwriter, soft rock, traditional folk]"
57bUPid8xztkieZfS7OlEV,"[adult standards, brill building pop, chicago soul, christmas, classic funk rock, classic rock, disco, mellow gold, memphis soul, motown, quiet storm, rock-and-roll, soul, soul blues, soul christmas, southern soul]"
3TiISqKS6ESlMQ4WFfZJw2,"[adult standards, brill building pop, bubblegum pop, folk rock, mellow gold, merseybeat, rock-and-roll, rockabilly, soft rock]"
1bs7HoMkSyQwcobCpE9KpN,"[adult standards, brill building pop, bubblegum pop, christmas, classic rock, folk, folk rock, mellow gold, psychedelic rock, rock-and-roll, singer-songwriter, soft rock, traditional folk]"
7CCn4PFRRRZF127jtCBAUe,"[brill building pop, bubblegum pop, christmas, classic funk rock, classic rock, folk, folk rock, mellow gold, merseybeat, motown, psychedelic rock, rock, rock-and-roll, roots rock, singer-songwriter, soft rock, traditional folk]"
55CCS64lPz88twUDVquU1u,"[adult standards, ballroom, christmas, easy listening, exotica, lounge, romantico]"
3IZrrNonYELubLPJmqOci2,"[adult standards, brill building pop, bubblegum pop, cabaret, christmas, classic rock, folk rock, rock-and-roll, vocal jazz]"
0hF0PwB04hnXfYMiZWfJzy,"[brill building pop, chicago soul, disco, memphis soul, motown, northern soul, quiet storm, soul, soul blues, southern soul]"
1Mxqyy3pSjf8kZZL4QVxS0,"[adult standards, christmas, easy listening, jazz christmas, lounge]"
3WrFJ7ztbogyGnTHbHJFl2,"[british invasion, classic rock, merseybeat, protopunk, psychedelic rock, rock]"
5X3TuTi9OIsJXMGxPwTKM2,"[brill building pop, british blues, bubblegum pop, classic funk rock, classic rock, folk rock, mellow gold, merseybeat, motown, psychedelic rock, rock-and-roll, soft rock]"
4UD9XOagGdElo7BpVzLltZ,"[british invasion, bubblegum pop, merseybeat]"
01hRNr3yF5bYnPq4wZ88iI,"[adult standards, brill building pop, bubblegum pop, christmas, classic garage rock, classic rock, folk rock, mellow gold, merseybeat, motown, psychedelic rock, rock-and-roll, soft rock]"
3rRmDmzPcAFwcUDvG5gBqO,"[brill building pop, chicago soul, funk, jazz blues, jazz christmas, memphis soul, motown, quiet storm, rock-and-roll, soul, soul blues, soul christmas, southern soul]"
22bE4uQ6baNwSHPVcDxLCe,"[album rock, british invasion, classic rock, folk rock, mellow gold, protopunk, rock, singer-songwriter]"
6nKqt1nbSBEq3iUXD1Xgz8,"[adult standards, brill building pop, bubblegum pop, cabaret, christmas, easy listening, folk, folk rock, lounge, mellow gold, merseybeat, rock-and-roll, soft rock]"
5bLcI9Jo6RyrrHzG9veVyn,"[brill building pop, bubblegum pop, doo-wop, folk rock, merseybeat, rock-and-roll]"
57xdnSVt4ahJCIXYLieQ25,"[blues-rock, brill building pop, british blues, british invasion, bubblegum pop, classic garage rock, classic rock, folk rock, freakbeat, merseybeat, protopunk, psychedelic rock, rock-and-roll, rockabilly]"
32HPpJAhgnGPT3V7UOggzi,"[blues-rock, brill building pop, british blues, bubblegum pop, classic garage rock, classic rock, folk rock, freakbeat, mellow gold, merseybeat, protopunk, psychedelic rock, rock-and-roll, soft rock, surf music]"
6vLlQYujOujIrm7zAKzEdG,"[album rock, art rock, blues-rock, brill building pop, british blues, british folk, british invasion, bubblegum pop, classic funk rock, classic rock, country rock, folk, folk rock, glam rock, mellow gold, protopunk, psychedelic rock, rock, roots rock, singer-songwriter, soft rock, traditional folk]"
2uNpV18izVIP7DNusoWbT5,"[chicago soul, memphis soul, motown, northern soul, southern soul]"
3WrFJ7ztbogyGnTHbHJFl2,"[british invasion, classic rock, merseybeat, protopunk, psychedelic rock, rock]"
5ojumrbWWohLIuzArVoyDs,"[brill building pop, bubblegum pop, folk rock, merseybeat]"
57bUPid8xztkieZfS7OlEV,"[adult standards, brill building pop, chicago soul, christmas, classic funk rock, classic rock, disco, mellow gold, memphis soul, motown, quiet storm, rock-and-roll, soul, soul blues, soul christmas, southern soul]"
05sRO4JdAtJGyZQOTb6kSL,"[brill building pop, bubblegum pop, classic garage rock, folk rock, merseybeat, protopunk, rock-and-roll, surf music]"
4d22O5s2UK1KzIoZRR8NZk,[]
3oDbviiivRWhXwIE8hxkVV,"[brill building pop, classic rock, folk rock, mellow gold, pop christmas, psychedelic rock, rock, singer-songwriter, soft rock]"
2VkASgJ3IjpMHG5aYXx4t2,"[british invasion, bubblegum pop, folk rock, merseybeat, rock-and-roll]"
5zaXYwewAXedKNCff45U5l,"[adult standards, brill building pop, british invasion, bubblegum pop, christmas, classic rock, folk, folk rock, jazz blues, mellow gold, memphis soul, motown, new wave pop, quiet storm, rock-and-roll, singer-songwriter, soul, soul christmas, southern soul, vocal jazz]"
2AYmrUFn1ATSfFSx3B4tvb,"[chicago soul, memphis soul, motown, northern soul, southern soul]"
5Xh0e6sCvMXJUNVa4oynvx,"[brill building pop, bubblegum pop, country christmas, merseybeat, nashville sound, rock-and-roll]"
4qnb4cn5aykCACoyuCirGg,"[bubblegum pop, classic garage rock, folk rock, freakbeat, merseybeat, psychedelic rock]"
1QAGLCom3FHTTiuRFsjzOj,"[brill building pop, chicago soul, funk, jazz blues, memphis soul, motown, soul, soul blues, soul christmas, southern soul]"
382aCtCMEd2Rg2DmcU9xw9,"[bubblegum pop, classic garage rock, folk rock, freakbeat, jangle pop, psychedelic rock]"
7CCn4PFRRRZF127jtCBAUe,"[brill building pop, bubblegum pop, christmas, classic funk rock, classic rock, folk, folk rock, mellow gold, merseybeat, motown, psychedelic rock, rock, rock-and-roll, roots rock, singer-songwriter, soft rock, traditional folk]"
2YoQIXRoQoitW4Sy6hR8AQ,"[anthem worship, classic garage rock, freakbeat]"
7t4XHvWfj0XtEB8SNFeALw,"[adult standards, brill building pop, bubblegum pop, doo-wop, folk rock, merseybeat, rock-and-roll, rockabilly]"
7t4XHvWfj0XtEB8SNFeALw,"[adult standards, brill building pop, bubblegum pop, doo-wop, folk rock, merseybeat, rock-and-roll, rockabilly]"
6waa8mKu91GjzD4NlONlNJ,"[adult standards, album rock, art rock, blues-rock, brill building pop, british blues, british invasion, bubblegum pop, christmas, classic funk rock, classic rock, folk, folk rock, hard rock, mellow gold, merseybeat, motown, psychedelic rock, rock, rock-and-roll, rockabilly, roots rock, singer-songwriter, soft rock]"
1qO2mRQM4zbksO586oM0W7,"[chicago soul, memphis soul, motown, northern soul, soul, southern soul]"
0uUNzXylqsZdmFDwdxaP1V,"[adult standards, brill building pop, bubblegum pop, christmas, country christmas, folk rock, lounge, mellow gold, merseybeat, nashville sound, soft rock]"
3RwQ26hR2tJtA8F9p2n7jG,"[brill building pop, chicago soul, christmas, disco, funk, funk rock, memphis soul, motown, soul, soul blues, soul christmas, southern soul]"
4BM6qze88exQPVILQpcYpj,"[bubblegum pop, classic garage rock, freakbeat, protopunk, psychedelic rock]"
5W6gs1V54kOPUgBxBLkY1z,"[bubblegum pop, merseybeat]"
70cRZdQywnSFp9pnc2WTCE,"[album rock, brill building pop, classic rock, folk, folk christmas, folk rock, folk-pop, melancholia, mellow gold, rock, roots rock, singer-songwriter, soft rock]"
1eYhYunlNJlDoQhtYBvPsi,"[adult standards, christmas, classic rock, electric blues, jazz blues, jazz christmas, memphis soul, motown, piano blues, rock-and-roll, soul, soul blues, soul christmas, southern soul, vocal jazz]"
3TiISqKS6ESlMQ4WFfZJw2,"[adult standards, brill building pop, bubblegum pop, folk rock, mellow gold, merseybeat, rock-and-roll, rockabilly, soft rock]"
70cRZdQywnSFp9pnc2WTCE,"[album rock, brill building pop, classic rock, folk, folk christmas, folk rock, folk-pop, melancholia, mellow gold, rock, roots rock, singer-songwriter, soft rock]"
6lHC2EQMEMZiEmSfFloarn,"[adult standards, brill building pop, british blues, british invasion, bubblegum pop, christmas, folk rock, merseybeat, rock-and-roll]"
70cRZdQywnSFp9pnc2WTCE,"[album rock, brill building pop, classic rock, folk, folk christmas, folk rock, folk-pop, melancholia, mellow gold, rock, roots rock, singer-songwriter, soft rock]"
7CCn4PFRRRZF127jtCBAUe,"[brill building pop, bubblegum pop, christmas, classic funk rock, classic rock, folk, folk rock, mellow gold, merseybeat, motown, psychedelic rock, rock, rock-and-roll, roots rock, singer-songwriter, soft rock, traditional folk]"
0eEcbHGsAvOTCZzF5pg8GD,"[filter house, retro electro]"
7guDJrEfX3qb6FEbdPA5qi,"[classic funk rock, funk, funk rock, motown, quiet storm, soft rock, soul, soul christmas]"
72OaDtakiy6yFqkt4TsiFt,"[dance pop, disco, hollywood, new wave pop, pop, pop christmas, pop rock]"
3oDbviiivRWhXwIE8hxkVV,"[brill building pop, classic rock, folk rock, mellow gold, pop christmas, psychedelic rock, rock, singer-songwriter, soft rock]"
22bE4uQ6baNwSHPVcDxLCe,"[album rock, british invasion, classic rock, folk rock, mellow gold, protopunk, rock, singer-songwriter]"
6gZVflqhSHhG3MjYrf1dOv,[surf music]
57WXdjUf5Vlq3klNZegeTP,"[bubblegum pop, classic garage rock, freakbeat, garage rock, protopunk, psychedelic rock, surf music]"
3RwQ26hR2tJtA8F9p2n7jG,"[brill building pop, chicago soul, christmas, disco, funk, funk rock, memphis soul, motown, soul, soul blues, soul christmas, southern soul]"
,
32HPpJAhgnGPT3V7UOggzi,"[blues-rock, brill building pop, british blues, bubblegum pop, classic garage rock, classic rock, folk rock, freakbeat, mellow gold, merseybeat, protopunk, psychedelic rock, rock-and-roll, soft rock, surf music]"
1MAzauDIpGIacm1p6x2zQe,"[chicago soul, northern soul]"
3Y9xnCbmXGhmpJymwpnxCz,"[british invasion, bubblegum pop, merseybeat, rock-and-roll]"
4cPHsZM98sKzmV26wlwD2W,"[adult standards, brill building pop, bubblegum pop, christmas, country christmas, cowboy western, easy listening, lounge, merseybeat, nashville sound, rock-and-roll, rockabilly, traditional country, vocal jazz]"
6WtWmLPWn1imbcisSfmBvy,"[adult standards, ballroom, christmas, easy listening, romantico]"
7tIs7rxqGuBvWMhIIigunf,"[country christmas, country gospel, cowboy western, nashville sound, traditional country, western swing]"
0EodhzA6yW1bIdD5B4tcmJ,"[adult standards, brill building pop, bubblegum pop, christmas, easy listening, folk rock, jazz blues, jazz christmas, lounge, mellow gold, rock-and-roll, rockabilly, soul, swing, vocal jazz]"
