"""i got the feelin""","""7reGxEWg0JGotK561kvmqa"""
"""ive gotta get a message to you""","""4xCVHlmzEyIn1t4gXYsMaf"""
"""lady madonna""","""1raiIrqaqRAqZmQWZlLuBd"""
"""hurdy gurdy man""","""7AL6qzIDHIX7pEUWrzNiIs"""
"""magic carpet ride""","""5HRL78OfxCYsDQtRYsBF4T"""
"""bottle of wine""","""0wegjSmMmGyIt8hr0KCu9u"""
"""stay in my corner""","""6oavqtFYgu0Zdpgesza6f4"""
"""soul serenade""","""315NtKOZZ30iThBRGS13Al"""
"""delilah""","""2ext9IdNLicfa7EYYcf4wb"""
"""nobody but me""","""4QkvD53COA5qLA7rQ1Pa7D"""
"""i thank you""","""68cD6DL9ykbsoi2C5NaVsL"""
"""the fool on the hill""","""7384ZImepcCLSwbxmX1D2T"""
"""sky pilot""","""4HTN9nDmvkJ9jGddtd6zB8"""
"""indian lake""","""47wbrfuRgN3dDrfWVu0ifu"""
"""i wonder what shes doing tonight""","""2ChhVPnOgHV9UmSuso8S9v"""
"""over you""","""4XYHEuDwsKuxSpiIylcMnB"""
"""the unicorn""","""60tVrRUpKLJPxcSSKoGVGw"""
"""you keep me hangin on""","""059LGQd42y87hQMHQyJGSU"""
"""revolution""","""3UDmHZcBTQp8Iu8droNtUl"""
"""woman woman""","""6kni0aRaJX8NNu63sfKTmr"""
"""elenore""","""4DWFSrNnZXow1aB96gByho"""
"""white room""","""3Xls4cNOwy01dtrNXb1inG"""
"""youre all i need to get by""","""6Ndauo9gCxNjTfklsFYS7b"""
"""baby now that ive found you""","""0Z4SFts7Vr5fawgauVuZK2"""
"""sweet inspiration""","""2RwX6KYnLvfvgZ2gn8rhnc"""
"""if you can want""","""0SmI8EB25nrjJO8oj05iKo"""
"""cab driver""","""13RF8RpqeRO2qDDI98lLZr"""
"""time has come today""","""5qA1ZrjjVLh1cL9GZOFdNm"""
"""do you know the way to san jose""","""3ADQ9jGCJ6MfSbIZqtbVj2"""
"""say it loud  im black and im proud""","""5opl7znewPv98Jrm8Y49Xw"""
"""the mighty quinn""","""0cWPr2PvYTQERq88b4jGXw"""
"""here comes the judge""","""11DtxbS95J9CiVLSZhrYK1"""
"""i say a little prayer""","""3NfxSdJnVdon1axzloJgba"""
"""think""","""0jkBzn7J5jc889TYxwvXy6"""
"""sealed with a kiss""","""5GZizdM8UeW2svHkxy2XaS"""
"""piece of my heart""","""1xKQbqQtQWrtQS47fUJBtl"""
"""suzie q""","""6Jp0GuFxAYbTdre1uUPgaB"""
"""bend me shape me""","""1M6cwLCLEtb2E44vlMZFT7"""
"""hey western union man""","""7vsIsdegBXHac6FdSM08uW"""
"""never give you up""","""3pKWkyMFrQ6lcuGvMRdAzM"""
"""sugar sugar""","""3iSws76HjaU7k49EqJVTfF"""
"""i cant get next to you""","""6aL6pPBaTMGgM558mplSnj"""
"""honky tonk women""","""3RZMzCvYsmJ0u2ioKTOsmJ"""
"""everyday people""","""7lL2lMWNtzOcf5HnEudNgn"""
"""dizzy""","""3jJKKhg0t4HpdfNDyGiZDy"""
"""hot fun in the summertime""","""4t6NQkpUmvpvLDCkl3XuwA"""
"""ill never fall in love again""","""5I0LjHnBauh4v2wA65hheV"""
"""build me up buttercup""","""3XcuLPQb1LG13ZJEEa6wUI"""
"""crimson and clover""","""1vXuYPpkLjn1v06E2EsWQY"""
"""one""","""4ME2YQNThxEW63fxojzHvN"""
"""crystal blue persuasion""","""6FXwTBdpv4wD0G0Sz3Wxn4"""
"""hair""","""1FjHbC6PIXyQlxlCIFGMsM"""
"""too busy thinking about my baby""","""5HxahEtv5FWfFWTG581Xxs"""
"""love theme from romeo and juliet""","""25anT79TQrh5ely884DEpL"""
"""get together""","""4qxsM71CUQmCD5eRIJIqpy"""
